Camada_Superior,Camada_Inferior,Vel_proc,Vel_Aplicador,Diametro_Aplicador,Vel_Alimentador,Visc_seg,Temp,Pressao_Aplicador,Pressao_Alimentador,Segmento_Prod_CC,Segmento_Prod_LB
4.61,4.485,80,78.3,209.8,6.6,20.6,26.5,166.0,1542.5,1.0,0.0
4.61,4.485,80,78.3,209.8,6.6,20.6,26.5,166.0,1542.5,1.0,0.0
4.52,4.395,80,78.3,209.8,6.6,20.5,26.3,166.5,1545.5,1.0,0.0
4.52,4.395,80,78.3,209.8,6.6,20.5,26.3,166.5,1545.5,1.0,0.0
4.5,4.39,80,78.3,209.8,6.6,21.5,25.5,183.5,1542.0,1.0,0.0
4.5,4.39,80,78.3,209.8,6.6,21.5,25.5,183.5,1542.0,1.0,0.0
4.5,4.39,80,78.3,209.8,6.6,21.5,25.5,183.5,1542.0,1.0,0.0
4.5,4.39,80,78.3,209.8,6.6,21.5,25.5,183.5,1542.0,1.0,0.0
4.5,4.39,80,78.3,209.8,6.6,21.5,25.5,183.5,1542.0,1.0,0.0
4.76,4.92,85,80.4,209.8,7.5,21.6,25.7,141.0,1531.0,1.0,0.0
4.76,4.92,85,80.4,209.8,7.5,21.6,25.7,141.0,1531.0,1.0,0.0
4.75,4.845,85,80.4,209.8,7.5,21.4,26.0,138.0,1513.0,1.0,0.0
4.75,4.845,85,80.4,209.8,7.5,21.4,26.0,138.0,1513.0,1.0,0.0
4.66,4.515,75,74.2,209.8,7.5,21.5,26.1,176.0,1529.0,1.0,0.0
4.66,4.515,75,74.2,209.8,7.5,21.5,26.1,176.0,1529.0,1.0,0.0
4.66,4.515,75,74.2,209.8,7.5,21.5,26.1,176.0,1529.0,1.0,0.0
4.48,4.43,75,74.2,209.8,7.5,21.3,26.9,149.0,1515.0,1.0,0.0
4.48,4.43,75,74.2,209.8,7.5,21.3,26.9,149.0,1515.0,1.0,0.0
4.39,4.4,75,70.6,209.8,6.5,21.7,26.6,249.5,1746.5,1.0,0.0
4.39,4.4,75,70.6,209.8,6.5,21.7,26.6,249.5,1746.5,1.0,0.0
4.39,4.4,75,70.6,209.8,6.5,21.7,26.6,249.5,1746.5,1.0,0.0
4.04,4.09,75,70.6,209.8,6.5,21.4,26.9,250.5,1739.0,1.0,0.0
4.04,4.09,75,70.6,209.8,6.5,21.4,26.9,250.5,1739.0,1.0,0.0
4.04,4.09,75,70.6,209.8,6.5,21.4,26.9,250.5,1739.0,1.0,0.0
4.04,4.09,75,74.2,209.8,7.5,21.4,27.1,183.5,1531.0,1.0,0.0
4.04,4.09,75,74.2,209.8,7.5,21.4,27.1,183.5,1531.0,1.0,0.0
4.04,4.09,75,74.2,209.8,7.5,21.4,27.1,183.5,1531.0,1.0,0.0
4.64,4.99,80,76.7,209.8,7.1,21.0,27.6,149.0,1560.5,1.0,0.0
4.64,4.99,80,76.7,209.8,7.1,21.0,27.6,149.0,1560.5,1.0,0.0
4.64,4.99,80,76.7,209.8,7.1,21.6,26.7,156.0,1563.5,1.0,0.0
4.64,4.99,80,76.7,209.8,7.1,21.6,26.7,156.0,1563.5,1.0,0.0
4.31,4.61,80,76.7,209.8,7.1,19.8,26.9,152.0,1557.5,1.0,0.0
4.31,4.61,80,76.7,209.8,7.1,19.8,26.9,152.0,1557.5,1.0,0.0
4.55,4.585,80,76.7,209.8,7.1,20.0,26.1,149.5,1554.0,1.0,0.0
4.55,4.585,80,76.7,209.8,7.1,20.0,26.1,149.5,1554.0,1.0,0.0
4.01,4.065,80,72.4,209.8,6.0,19.9,26.3,152.5,1559.5,1.0,0.0
4.01,4.065,80,72.4,209.8,6.0,19.9,26.3,152.5,1559.5,1.0,0.0
